ID;hatching;1st molt;2nd molt;3rd molt;4th molt;eonymph;eonymph2;adulthatch;hatchingweightmg;treatmentweight;masschange;s;larvaltreat;treatment;died;purpose;pupaestageduration;larvalstageduration;totallifespan;adultlifespan;velocity;distancemoved;immobileduration;highlymobileduration;drybodymass;lipidmasstotal;lipidmgmgbodymass;carbsmasstotal;carbsmgmgbodymass
97;03.10.2023;5;8;11;14;18;;06.11.2023;13.30;11.40;-1.90;male;larval;double;;B,M;19;15;;;0.0267658;96.3697;3493.36;16.64;3.149;2.003;0.6361;0.063;0.0201
98;03.10.2023;5;6;9;13;17;;03.11.2023;17.80;15.10;-2.70;female;larval;double;24.11.2023;B,L;17;14;52;21;0.164973;593.811;2702.44;195;;;;;
99;02.10.2023;3;5;8;11;17;;06.11.2023;8.80;7.70;-1.10;male;larval;double;;B,M;20;15;;;0.203215;731.67;2515.76;418.08;2.206;0.242;0.1098;0.028;0.0125
100;02.10.2023;6;8;10;14;18;;06.11.2023;10.50;9.50;-1.00;male;larval;double;10.11.2023;B,M;19;16;39;4;;;;;;;;;
101;03.10.2023;5;6;8;12;16;;02.11.2023;19.10;15.80;-3.30;female;larval;double;;B,M;17;13;;;0.366868;1320.14;1970.28;465.92;4.886;1.060;0.2169;0.122;0.0250
102;03.10.2023;7;9;12;15;19;;06.11.2023;9.80;8.90;-0.90;male;larval;double;17.11.2023;B,L;18;16;45;11;0.138791;499.715;2685.8;138.32;;;;;
103;02.10.2023;3;4;7;11;17;;05.11.2023;10.10;8.10;-2.00;male;larval;double;;B,M;19;15;;;0.103996;374.434;3029.52;111.8;2.502;0.022;0.0088;0.028;0.0110
104;02.10.2023;4;6;8;11;17;;04.11.2023;10.70;8.20;-2.50;male;larval;double;;B,M;18;15;;;0.019265;69.3434;3529.76;6.76;2.216;0.137;0.0618;0.137;0.0618
105;02.10.2023;3;5;8;11;16;;04.11.2023;10.20;10.20;0.00;male;larval;double;;B,M;19;14;;;0.0741105;266.834;3121.04;95.68;2.456;1.280;0.5211;0.053;0.0214
106;03.10.2023;5;6;9;12;16;;03.11.2023;19.10;16.90;-2.20;female;larval;double;23.11.2023;B,L;18;13;51;20;0.460877;1658.9;1820;717.08;;;;;
